min_compensation,max_compensation,regular_ss_ee,mpf_ee,total_ee_contribution,total_er_contribution
0,5249.99,250.00,0.00,250.00,510.00
5250.00,5749.99,275.00,0.00,275.00,560.00
5750.00,6249.99,300.00,0.00,300.00,610.00
6250.00,6749.99,325.00,0.00,325.00,660.00
6750.00,7249.99,350.00,0.00,350.00,710.00
7250.00,7749.99,375.00,0.00,375.00,760.00
7750.00,8249.99,400.00,0.00,400.00,810.00
8250.00,8749.99,425.00,0.00,425.00,860.00
8750.00,9249.99,450.00,0.00,450.00,910.00
9250.00,9749.99,475.00,0.00,475.00,960.00
9750.00,10249.99,500.00,0.00,500.00,1010.00
10250.00,10749.99,525.00,0.00,525.00,1060.00
10750.00,11249.99,550.00,0.00,550.00,1110.00
11250.00,11749.99,575.00,0.00,575.00,1160.00
11750.00,12249.99,600.00,0.00,600.00,1210.00
12250.00,12749.99,625.00,0.00,625.00,1260.00
12750.00,13249.99,650.00,0.00,650.00,1310.00
13250.00,13749.99,675.00,0.00,675.00,1360.00
13750.00,14249.99,700.00,0.00,700.00,1410.00
14250.00,14749.99,725.00,0.00,725.00,1460.00
14750.00,15249.99,750.00,0.00,750.00,1530.00
15250.00,15749.99,775.00,0.00,775.00,1580.00
15750.00,16249.99,800.00,0.00,800.00,1630.00
16250.00,16749.99,825.00,0.00,825.00,1680.00
16750.00,17249.99,850.00,0.00,850.00,1730.00
17250.00,17749.99,875.00,0.00,875.00,1780.00
17750.00,18249.99,900.00,0.00,900.00,1830.00
18250.00,18749.99,925.00,0.00,925.00,1880.00
18750.00,19249.99,950.00,0.00,950.00,1930.00
19250.00,19749.99,975.00,0.00,975.00,1980.00
19750.00,20249.99,1000.00,0.00,1000.00,2030.00
20250.00,20749.99,1000.00,25.00,1025.00,3105.00
20750.00,21249.99,1000.00,50.00,1050.00,3180.00
21250.00,21749.99,1000.00,75.00,1075.00,3255.00
21750.00,22249.99,1000.00,100.00,1100.00,3330.00
22250.00,22749.99,1000.00,125.00,1125.00,3405.00
22750.00,23249.99,1000.00,150.00,1150.00,3480.00
23250.00,23749.99,1000.00,175.00,1175.00,3555.00
23750.00,24249.99,1000.00,200.00,1200.00,3630.00
24250.00,24749.99,1000.00,225.00,1225.00,3705.00
24750.00,25249.99,1000.00,250.00,1250.00,3780.00
25250.00,25749.99,1000.00,275.00,1275.00,3855.00
25750.00,26249.99,1000.00,300.00,1300.00,3930.00
26250.00,26749.99,1000.00,325.00,1325.00,4005.00
26750.00,27249.99,1000.00,350.00,1350.00,4080.00
27250.00,27749.99,1000.00,375.00,1375.00,4155.00
27750.00,28249.99,1000.00,400.00,1400.00,4230.00
28250.00,28749.99,1000.00,425.00,1425.00,4305.00
28750.00,29249.99,1000.00,450.00,1450.00,4380.00
29250.00,29749.99,1000.00,475.00,1475.00,4455.00
29750.00,30249.99,1000.00,500.00,1500.00,4530.00
30250.00,30749.99,1000.00,525.00,1525.00,4605.00
30750.00,31249.99,1000.00,550.00,1550.00,4680.00
31250.00,31749.99,1000.00,575.00,1575.00,4755.00
31750.00,32249.99,1000.00,600.00,1600.00,4830.00
32250.00,32749.99,1000.00,625.00,1625.00,4905.00
32750.00,33249.99,1000.00,650.00,1650.00,4980.00
33250.00,33749.99,1000.00,675.00,1675.00,5055.00
33750.00,34249.99,1000.00,700.00,1700.00,5130.00
34250.00,34749.99,1000.00,725.00,1725.00,5205.00
34750.00,9999999.99,1000.00,750.00,1750.00,5280.00
