Region,Province,CityMunicipality,ZipCode
Cordillera Administrative Region (Car),Abra,Bangued (Capital),2800
Cordillera Administrative Region (Car),Abra,Boliney,2815
Cordillera Administrative Region (Car),Abra,Bucay,2805
Cordillera Administrative Region (Car),Abra,Bucloc,2817
Cordillera Administrative Region (Car),Abra,Daguioman,2816
Cordillera Administrative Region (Car),Abra,Danglas,2825
Cordillera Administrative Region (Car),Abra,Dolores,2801
Cordillera Administrative Region (Car),Abra,La Paz,2826
Cordillera Administrative Region (Car),Abra,Lacub,2821
Cordillera Administrative Region (Car),Abra,Lagangilang,2802
Cordillera Administrative Region (Car),Abra,Lagayan,2824
Cordillera Administrative Region (Car),Abra,Langiden,2807
Cordillera Administrative Region (Car),Abra,Licuan-Baay (Licuan),2819
Cordillera Administrative Region (Car),Abra,Luba,2813
Cordillera Administrative Region (Car),Abra,Malibcong,2820
Cordillera Administrative Region (Car),Abra,Manabo,2810
Cordillera Administrative Region (Car),Abra,Peñarrubia,2804
Cordillera Administrative Region (Car),Abra,Pidigan,2806
Cordillera Administrative Region (Car),Abra,Pilar,2812
Cordillera Administrative Region (Car),Abra,San Isidro,2809
Cordillera Administrative Region (Car),Abra,San Juan,2823
Cordillera Administrative Region (Car),Abra,San Quintin,2808
Cordillera Administrative Region (Car),Abra,Tayum,2803
Cordillera Administrative Region (Car),Abra,Tineg,2822
Cordillera Administrative Region (Car),Abra,Tubo,2814
Cordillera Administrative Region (Car),Abra,VIllaviciosa,2811
Cordillera Administrative Region (Car),Abra,Sallapadan,2818
Region XIii (Caraga),Agusan del Norte,Buenavista,8601
Region XIii (Caraga),Agusan del Norte,Butuan City (Capital),8600
Region XIii (Caraga),Agusan del Norte,City Of Cabadbaran,8605
Region XIii (Caraga),Agusan del Norte,Carmen,8603
Region XIii (Caraga),Agusan del Norte,Jabonga,8607
Region XIii (Caraga),Agusan del Norte,Kitcharao,8609
Region XIii (Caraga),Agusan del Norte,Las Nieves,8610
Region XIii (Caraga),Agusan del Norte,Magallanes,8604
Region XIii (Caraga),Agusan del Norte,Nasipit,8602
Region XIii (Caraga),Agusan del Norte,Santiago,8608
Region XIii (Caraga),Agusan del Norte,Tubay,8606
Region XIii (Caraga),Agusan del Norte,Remedios T. Romualdez,8611
Region XIii (Caraga),Agusan del Sur,City Of Bayugan,8502
Region XIii (Caraga),Agusan del Sur,Bunawan,8506
Region XIii (Caraga),Agusan del Sur,Esperanza,8513
Region XIii (Caraga),Agusan del Sur,La Paz,8508
Region XIii (Caraga),Agusan del Sur,Loreto,8507
Region XIii (Caraga),Agusan del Sur,Prosperidad (Capital),8500
Region XIii (Caraga),Agusan del Sur,Rosario,8504
Region XIii (Caraga),Agusan del Sur,San Francisco,8501
Region XIii (Caraga),Agusan del Sur,San Luis,8511
Region XIii (Caraga),Agusan del Sur,Talacogon,8510
Region XIii (Caraga),Agusan del Sur,Trento,8505
Region XIii (Caraga),Agusan del Sur,Veruela,8509
Region XIii (Caraga),Agusan del Sur,Sibagat,8503
Region XIii (Caraga),Agusan del Sur,Santa Josefa,8512
Region VI (Western VIsayas),Aklan,Altavas,5616
Region VI (Western VIsayas),Aklan,Balete,5614
Region VI (Western VIsayas),Aklan,Banga,5601
Region VI (Western VIsayas),Aklan,Batan,5615
Region VI (Western VIsayas),Aklan,Buruanga,5609
Region VI (Western VIsayas),Aklan,Ibajay,5613
Region VI (Western VIsayas),Aklan,Kalibo (Capital),5600
Region VI (Western VIsayas),Aklan,Lezo,5605
Region VI (Western VIsayas),Aklan,Libacao,5602
Region VI (Western VIsayas),Aklan,Madalag,5603
Region VI (Western VIsayas),Aklan,Makato,5611
Region VI (Western VIsayas),Aklan,Malay,5608
Region VI (Western VIsayas),Aklan,Malinao,5606
Region VI (Western VIsayas),Aklan,Nabas,5607
Region VI (Western VIsayas),Aklan,New Washington,5610
Region VI (Western VIsayas),Aklan,Numancia,5604
Region VI (Western VIsayas),Aklan,Tangalan,5612
Region V (Bicol Region),Albay,Bacacay,4509
Region V (Bicol Region),Albay,Camalig,4502
Region V (Bicol Region),Albay,Daraga (Locsin),4501
Region V (Bicol Region),Albay,Guinobatan,4503
Region V (Bicol Region),Albay,Jovellar,4515
Region V (Bicol Region),Albay,Legazpi City (Capital),4500
Region V (Bicol Region),Albay,Libon,4507
Region V (Bicol Region),Albay,City Of Ligao,4504
Region V (Bicol Region),Albay,Malilipot,4510
Region V (Bicol Region),Albay,Malinao,4512
Region V (Bicol Region),Albay,Manito,4514
Region V (Bicol Region),Albay,Oas,4505
Region V (Bicol Region),Albay,Pio Duran,4516
Region V (Bicol Region),Albay,Polangui,4506
Region V (Bicol Region),Albay,Rapu-Rapu,4517
Region V (Bicol Region),Albay,City Of Tabaco,4511
Region V (Bicol Region),Albay,Tiwi,4513
Region V (Bicol Region),Albay,Santo Domingo (Libog),4508
Region VI (Western VIsayas),Antique,Anini-Y,5717
Region VI (Western VIsayas),Antique,Barbaza,5706
Region VI (Western VIsayas),Antique,Belison,5701
Region VI (Western VIsayas),Antique,Bugasong,5704
Region VI (Western VIsayas),Antique,Caluya,5711
Region VI (Western VIsayas),Antique,Culasi,5708
Region VI (Western VIsayas),Antique,Tobias Fornier (Dao),5716
Region VI (Western VIsayas),Antique,Hamtic,5715
Region VI (Western VIsayas),Antique,Laua-An,5705
Region VI (Western VIsayas),Antique,Libertad,5710
Region VI (Western VIsayas),Antique,Pandan,5712
Region VI (Western VIsayas),Antique,Patnongon,5702
Region VI (Western VIsayas),Antique,San Jose (Capital),5700
Region VI (Western VIsayas),Antique,Sebaste,5709
Region VI (Western VIsayas),Antique,Sibalom,5713
Region VI (Western VIsayas),Antique,Tibiao,5707
Region VI (Western VIsayas),Antique,Valderrama,5703
Region VI (Western VIsayas),Antique,San Remigio,5714
